matricula;estado;lat;long;bateria
4874IIZ;0;37.454;3.08668;73.56%
3905IVN;3;37.5073;3.51187;61.44%
8304FRP;3;37.9751;3.43827;90.52%
9397ZHV;0;37.6175;3.31695;76.12%
9771IRH;0;37.2682;3.86288;51.26%
8558LSN;2;37.8656;3.11374;8.93%
3554SAN;1;37.924;3.05668;49.6%
7334RFT;2;37.9598;3.22351;3.75%
7952HGM;3;37.2121;3.47168;63.35%
5770ZTC;2;37.7371;3.17869;13.47%
8953JEG;3;37.0689;3.21619;58.67%
5810GHO;3;37.2882;3.39199;29.14%
7974HQN;1;37.5611;3.7653;30.08%
1278LMH;0;37.1257;3.16695;41.05%
8611IGI;0;37.0611;3.15618;36.37%
6873KAF;1;37.1879;3.30004;34.06%
8007BKK;0;37.9462;3.49308;90.19%
7409JOD;2;37.7812;3.43788;6.1%
0348BIE;2;37.7373;3.887;14.45%
2703ZRD;3;37.2501;3.95165;21.65%
2534UYH;1;37.6611;3.70655;23.92%
9735HKJ;1;37.894;3.9328;82.12%
5198EQP;3;37.1997;3.61975;61.2%
6661GME;3;37.036;3.72466;80.96%
7673PGH;0;37.8076;3.09589;41.11%
6985VUY;1;37.9298;3.34223;65.94%
0018YWI;0;37.9963;3.32547;59.31%
2952YYK;1;37.1394;3.94574;52.23%
6024TDO;3;37.725;3.85237;74.39%
7458SNE;2;37.6847;3.25999;3.6%
5352TRC;2;37.5888;3.92019;5.69%
8660CKW;3;37.9596;3.80073;94.23%
5232DFN;3;37.6457;3.41061;87.93%
5120KPN;2;37.7647;3.39469;10.22%
3461WXR;2;37.0427;3.28633;5.75%
9192GWZ;3;37.1442;3.03201;86.11%
6990EZN;1;37.222;3.41048;40.59%
3432OND;3;37.734;3.2007;38%
0380JGQ;0;37.1943;3.66812;21.71%
6005EKI;1;37.6013;3.94638;77.38%
0183RWF;2;37.9365;3.2877;2.21%
3221ALY;2;37.3747;3.9885;10.55%
7727WOH;2;37.781;3.97445;1.42%
8898BQK;2;37.9991;3.02033;12.02%
9371TTK;1;37.8023;3.98238;44.66%
7711AUV;1;37.5314;3.22181;74.33%
5065YOL;0;37.6434;3.3891;98.26%
8055RUL;0;37.2628;3.90401;76.83%
2643VCF;0;37.7764;3.82441;54.26%
3609BTV;3;37.3109;3.20734;76.06%
5160NFL;2;37.3617;3.46038;9.79%
1137JKF;2;37.8703;3.14184;10.16%
8461DCM;3;37.1435;3.57376;31%
3299SCQ;3;37.1523;3.84718;30.7%
4737CKF;3;37.1648;3.85378;50.56%
5761SMD;0;37.2703;3.17239;60.74%
8647TTJ;1;37.4777;3.82513;41.92%
9265BQB;1;37.3938;3.99601;29.55%
5242BYO;3;37.8878;3.37723;25.17%
3590GET;1;37.8389;3.95709;52.54%
0528UBI;3;37.2158;3.22299;55.65%
4618IKE;0;37.1586;3.58854;45.44%
1340RQO;2;37.4057;3.22772;12.26%
3965HCH;1;37.2731;3.79135;67.21%
0011KLW;2;37.0077;3.93488;8.85%
4440SZD;2;37.2596;3.65535;14.99%
4720WJV;3;37.6092;3.86004;63.55%
3376NJO;1;37.5336;3.38567;20.95%
0785MYI;1;37.7653;3.34429;39.42%
1973NHR;0;37.8785;3.06932;73.99%
7656QKP;0;37.0543;3.3554;57.51%
8648HEM;1;37.5757;3.83036;66.2%
9588GCG;1;37.9217;3.35332;15.85%
1219ABB;2;37.7802;3.8363;6.83%
3077AGK;0;37.1673;3.94737;97.64%
0128FPA;1;37.918;3.7735;70%
0893BNV;0;37.2013;3.66249;61.12%
3810WVM;0;37.7616;3.20163;60.55%
7372OYN;0;37.6226;3.63231;71.34%
1412QQI;3;37.5021;3.68296;63.84%
2665FGI;3;37.0242;3.73093;34.58%
5332DZV;0;37.4336;3.61235;49.09%
8531VVC;3;37.7285;3.21099;88.97%
1839RGL;1;37.5824;3.02238;87.78%
3948CMF;3;37.3248;3.63903;17.28%
4279OTL;2;37.1072;3.59877;3.93%
7100YRZ;1;37.1375;3.21505;86.97%
6201SGL;1;37.9822;3.39214;22.97%
1729FGO;0;37.5778;3.61976;98.15%
3503HGH;2;37.8043;3.5203;3.91%
5628FGY;2;37.5221;3.4911;8.15%
0672VCI;1;37.5648;3.82422;90.15%
6278DGO;0;37.8011;3.89601;59.05%
6898QYI;3;37.1285;3.84203;60.28%
1180BNZ;1;37.5761;3.5461;49.29%
9396HPW;3;37.9833;3.09344;76.29%
8267OGT;3;37.9695;3.56014;40.9%
6096VMS;2;37.7533;3.19452;6.56%
5245CZW;1;37.0057;3.39244;58.34%
2218VAL;1;37.606;3.29;65.64%
3773SEZ;2;37.2566;3.59648;2.52%
1535AQY;0;37.7797;3.66421;33.43%
8319KSJ;3;37.1622;3.36754;71.88%
3320ASW;3;37.1516;3.27929;41.91%
8904ISC;0;37.9506;3.56299;63.65%
0123YOS;2;37.8331;3.90273;9.06%
2106NOM;2;37.676;3.32323;11.05%
8618CJT;2;37.0958;3.29091;3.06%
9274VBW;1;37.338;3.92213;85.34%
1213ASY;1;37.5956;3.73655;64.99%
7181JJQ;0;37.7917;3.43768;56.96%
0167BZV;1;37.3849;3.47899;65.62%
9240PRF;1;37.4875;3.47322;43.51%
1780UGT;3;37.9807;3.74759;75.39%
3531UGY;3;37.7553;3.98408;16.71%
6972AND;1;37.577;3.93228;99.91%
6877STT;1;37.6553;3.26999;70.31%
1565YZN;3;37.8756;3.82895;96.61%
8496ZHB;2;37.3178;3.09805;6.81%
6055TFI;0;37.9875;3.78872;52.99%
6624ZPV;0;37.6764;3.70661;90.67%
8409QBU;1;37.2955;3.74394;15%
1246LIU;3;37.5226;3.01618;43.06%
8621LHO;0;37.6391;3.73621;95%
4425RZY;3;37.793;3.83424;96.32%
1147GNV;2;37.297;3.03506;13.07%
6389QTG;2;37.2952;3.31339;9.46%
0445XBQ;0;37.1382;3.4304;58.84%
8723XMW;2;37.7896;3.47004;10.62%
0071BPS;2;37.1555;3.50255;9.09%
8673VWY;1;37.09;3.05178;18.52%
4588IXQ;0;37.2531;3.11214;92.44%
8045DIC;2;37.6935;3.31289;13.04%
8237FAQ;0;37.4201;3.91419;50.77%
3693SXT;0;37.8884;3.197;15.29%
8414DXC;1;37.6077;3.61767;77.43%
8713JML;1;37.8504;3.71871;16.43%
7757NFE;2;37.3818;3.71597;8.65%
7388YHN;0;37.8083;3.16612;32.77%
9922ILS;1;37.6513;3.29209;73.54%
3348MPQ;1;37.991;3.1592;53.36%
3232JJR;2;37.317;3.35737;6.4%
1415SNY;3;37.0385;3.17713;23.87%
8054OGU;0;37.6704;3.64899;77.43%
0423OZI;0;37.2807;3.74216;31.23%
4486VYL;1;37.5466;3.11977;46.95%
1987QNL;2;37.2518;3.06302;7.05%
1125GFW;2;37.2314;3.49999;3.81%
4724ZCS;1;37.0141;3.78229;27.93%
3734MHT;3;37.31;3.89578;95.18%
1383WCI;1;37.4408;3.69007;82.79%
9173XAB;3;37.489;3.32636;59.83%
1525BYW;2;37.9327;3.38557;9.55%
0438NNJ;0;37.8713;3.40622;19.81%
7796XGX;2;37.3837;3.5132;9.4%
7551IIJ;2;37.924;3.88596;1.58%
6381XIB;2;37.2307;3.34165;5.49%
2333UGF;1;37.82;3.5011;51.55%
3801TGV;1;37.0908;3.99332;62.52%
5956UQS;1;37.1171;3.86529;48.24%
1754NVY;2;37.5032;3.09544;14.88%
3605FEB;0;37.7376;3.92515;67.59%
8213ITO;2;37.2752;3.43872;11.45%
6622URZ;0;37.2027;3.72336;80.39%
6189FPN;2;37.7999;3.59933;7.98%
8429RHR;1;37.2894;3.06449;83.07%
6461SIS;1;37.4104;3.197;18%
3841FVG;0;37.8615;3.98004;57.03%
0603ZJC;0;37.7199;3.77408;63.91%
4990MVC;1;37.9968;3.44293;63.34%
9235OIA;2;37.8717;3.82401;11.61%
2542SLU;2;37.4222;3.7005;12.12%
2661HLL;3;37.6993;3.85599;41.26%
2725PMV;3;37.4669;3.79601;36.21%
9705MUZ;0;37.0615;3.62129;53.98%
3979UYG;1;37.0537;3.91941;43.09%
1044LDU;0;37.347;3.811;27.45%
1471JPH;2;37.2735;3.03404;7.81%
3073NCJ;2;37.8427;3.15123;1.73%
4190DCN;3;37.575;3.09328;49.54%
9686JTV;0;37.4142;3.08084;65.05%
7366CDG;0;37.7837;3.44505;79.24%
9299IQB;0;37.0999;3.7693;36.62%
8626WVP;1;37.2811;3.85391;20.26%
9115RTL;2;37.62;3.35459;14.44%
0929OVX;1;37.1668;3.40391;48.19%
6110BBM;0;37.228;3.94377;55.79%
2075SIY;3;37.2114;3.66148;64.4%
1876HNZ;0;37.2643;3.59459;34.29%
1814BCX;1;37.9186;3.08767;21.39%
7056NXS;0;37.0808;3.60877;91.29%
0999VLE;2;37.8229;3.94891;7.63%
0873GWX;0;37.1997;3.05071;78.07%
2047OSE;0;37.31;3.51369;24.36%
7087PXY;3;37.5471;3.35779;90.99%
9048GGW;1;37.9084;3.71217;64.68%
3170WZU;3;37.4242;3.9137;58.56%
3941ENJ;0;37.1431;3.59715;62.21%
8372QXC;2;37.2352;3.23636;14.43%
8827ECL;2;37.5186;3.04899;5.24%
0164ATN;1;37.6609;3.1735;39.75%
2972PFD;2;37.486;3.83315;4.81%
7111DPV;2;37.5262;3.55432;10.14%
1069PSQ;0;37.2329;3.39402;61.48%
0857YZU;0;37.1943;3.39744;37.89%
8431VKN;2;37.6338;3.54593;4.93%
5391IKE;3;37.8075;3.87463;97.82%
5102IBD;2;37.5983;3.61507;7.57%
1966PVO;2;37.5717;3.09172;6.71%
7376RMN;1;37.8178;3.54671;66.59%
3893KFK;0;37.195;3.04182;77.06%
8275JYK;1;37.6358;3.91422;50.42%
0927JVD;2;37.9936;3.68404;6%
8527GLG;1;37.5673;3.74315;69.9%
4143CJR;1;37.1864;3.59688;52.72%
9241QKM;1;37.7234;3.42226;83.5%
6598MKD;1;37.4242;3.13796;15.47%
4548HYV;2;37.0824;3.17627;2.85%
2528UWK;3;37.933;3.87702;59.55%
1421CUB;2;37.0571;3.18783;7.55%
0674SCJ;0;37.1144;3.91122;92.83%
4716ZYZ;0;37.1953;3.67905;91.61%
7831LHJ;0;37.7375;3.44818;30.59%
4274MBS;3;37.3843;3.63241;100.77%
6167UAZ;3;37.6384;3.86438;21.12%
2137IOC;1;37.3132;3.17713;50.14%
4103RID;0;37.433;3.31773;97.78%
9686FMM;1;37.4355;3.74979;27.19%
5358WBJ;2;37.5566;3.88112;7.55%
6938OHV;3;37.4465;3.10738;57.33%
0278MOY;0;37.1329;3.06359;37.38%
2147HGU;0;37.6859;3.65268;27.39%
6522JQH;2;37.7473;3.74435;9.52%
5824STJ;0;37.4917;3.23344;16.26%
9855NBR;0;37.7349;3.08586;90.97%
9261AGR;1;37.2447;3.81183;47.72%
9653SFI;3;37.8342;3.16075;79.57%
4401LLG;0;37.1858;3.33877;55.76%
6482RGE;3;37.6619;3.49758;54.46%
0616PNH;2;37.6894;3.18281;4.01%
0932EVP;1;37.1227;3.10747;45.84%
1519YXB;0;37.1022;3.06053;67.71%
1284YJG;0;37.8528;3.93593;31.35%
3928TAR;1;37.4789;3.45784;45.69%
0081XSC;2;37.7768;3.76549;7.18%
8878PHU;1;37.9116;3.75158;33.18%
4698ZQQ;2;37.3725;3.47024;13.75%
3764HIY;3;37.4202;3.78467;86.15%
6703LJO;3;37.7417;3.74906;50.02%
5224QJE;2;37.5923;3.96043;1.96%
0597RUJ;0;37.6064;3.38325;86.16%
5205PIS;1;37.3554;3.32443;58.88%
3006USD;1;37.6048;3.47756;74.15%
9930WOV;3;37.1875;3.69694;31.83%
9691DCH;2;37.6163;3.37021;9.8%
4797PCT;0;37.0548;3.5441;68.15%
0225OQN;3;37.1246;3.08395;28.16%
4783AVD;2;37.1516;3.72146;4.97%
9448TVS;2;37.8928;3.76529;9.78%
5317SEB;0;37.775;3.55517;73.99%
2662DFR;1;37.8521;3.01312;64.62%
0016MAX;3;37.7178;3.67497;61.6%
8142OEA;2;37.0026;3.89601;4%
9896QXF;2;37.4542;3.2748;14.63%
7068EEE;1;37.1147;3.81979;82.84%
1645MOG;0;37.0343;3.92516;81.12%
3875AHU;3;37.9734;3.56681;52.86%
9085UGV;0;37.6033;3.93868;65.45%
7093ENH;0;37.3933;3.21878;32.59%
6865ZQJ;1;37.737;3.09186;40.39%
3431PPF;2;37.571;3.27042;2.93%
9770AZJ;3;37.2117;3.06787;35.39%
9157XQD;0;37.5996;3.84328;59.81%
0725HNT;0;37.3837;3.9877;93.73%
7106SSZ;1;37.0954;3.82047;55.61%
2597OIZ;0;37.1692;3.10759;49.46%
2337EEE;3;37.46;3.57302;90.77%
2584BUS;2;37.3704;3.75186;13.39%
0912YNK;2;37.5174;3.35918;13.96%
1484TGQ;1;37.5755;3.55686;70.02%
8228PQC;1;37.4872;3.46271;45.21%
3394LRU;1;37.8847;3.10625;21.56%
6956RYH;0;37.6887;3.44413;32.33%
1055GSZ;0;37.7092;3.5387;55.88%
7976OOY;0;37.5685;3.3692;53.06%
7623IQT;3;37.9156;3.86676;51.02%
0338CZG;0;37.1042;3.2105;70.87%
0109BKN;3;37.0219;3.79138;32.66%
9103EPH;0;37.8319;3.83327;68.5%
1367DHI;3;37.6165;3.44847;74.8%
8350EOA;3;37.4691;3.74925;30.11%
1332AON;0;37.7622;3.21872;80.18%
1320MNF;1;37.5618;3.75889;37.79%
7574LBU;3;37.1186;3.52105;69.42%
5158HWG;2;37.1981;3.42134;1.81%
4568ZMU;2;37.0592;3.59369;14.6%
8887CBS;3;37.126;3.32198;32.96%
7323TFB;2;37.9894;3.70287;7.92%
8804AOL;0;37.8677;3.11871;67.97%
5353GVG;1;37.3643;3.86624;24.33%
9091JVT;2;37.7002;3.08472;3.71%
9539UTV;1;37.2453;3.74076;64.65%
3970LNS;1;37.3967;3.37352;43.22%
6827NBM;0;37.8365;3.89988;99.05%
5450SDS;3;37.727;3.23803;29.89%
7154EAC;0;37.905;3.08443;69.16%
4829DKC;2;37.8395;3.57721;14.54%
7282USN;0;37.1344;3.51583;42.58%
2918CNS;2;37.0883;3.33041;14%
6501WIF;1;37.2219;3.15026;71.27%
1339OQM;3;37.4463;3.18834;19.52%
1714ZNZ;1;37.625;3.74825;30.99%
6038PES;2;37.0009;3.32603;1.41%
7863TMF;1;37.1592;3.81784;18.29%
7669GTW;1;37.9342;3.02595;64.78%
9725DBF;2;37.6424;3.22627;7.96%
6022FFA;2;37.3826;3.43167;7.71%
8604VVO;2;37.4689;3.21806;12.08%
8680XZZ;0;37.6879;3.26411;83.34%
4686CWH;1;37.9381;3.50978;71.27%
5477BAG;3;37.6083;3.97547;75.06%
2032AEN;3;37.7618;3.32516;44.09%
5296YFM;3;37.9264;3.75301;95.37%
8755VEF;1;37.2042;3.70867;84.23%
4327ZFZ;0;37.086;3.59907;98.8%
7038ADO;2;37.2732;3.96546;8.07%
0507MFR;1;37.9032;3.99754;98.5%
5770UAD;0;37.4784;3.23089;43.75%
3039BVM;1;37.7024;3.95241;56.49%
1641HSG;1;37.9874;3.49557;59.01%
3721DKT;0;37.9024;3.16864;32.39%
8691XIL;1;37.4083;3.87341;68.96%
3069QAI;0;37.1685;3.85488;19.65%
7691LHS;1;37.2983;3.74844;72.57%
5504XLK;0;37.7139;3.32206;17.07%
4683VSX;1;37.9307;3.89541;88.09%
9669PIQ;1;37.6741;3.09125;59.04%
4274NOO;3;37.5153;3.1405;51%
1839BQH;0;37.8493;3.20582;35.44%
8175KZH;0;37.0661;3.89979;82.37%
2241ZVP;3;37.1986;3.21085;93.54%
0095VVL;0;37.0885;3.67878;35.07%
5015ZVK;2;37.7896;3.95024;3.95%
4258JSI;2;37.8849;3.56624;5.16%
3934CGF;1;37.5511;3.06328;78.65%
5598WEL;0;37.5368;3.01988;83.88%
7252AES;0;37.9757;3.90044;68.85%
5768GKG;1;37.1771;3.70386;83.26%
8289QYD;0;37.6543;3.81556;27.71%
9275MGP;0;37.6778;3.48169;59.82%
1217GZV;1;37.5318;3.49804;80.79%
1531JTE;2;37.293;3.08129;8.19%
6133YNN;1;37.2549;3.98513;36.38%
9641HSG;2;37.579;3.9574;3.39%
6799SQV;2;37.1068;3.06299;14.62%
1294OHZ;1;37.0352;3.49119;33.79%
5681PXQ;2;37.9818;3.71692;6.36%
9048HDS;2;37.116;3.36698;12%
7136XTO;3;37.9426;3.64848;93.39%
3414ALH;0;37.7651;3.17834;37.88%
3830DWF;3;37.7875;3.04182;79.34%
4070IRT;2;37.4426;3.6393;2.14%
9591PZS;1;37.0009;3.78209;59.01%
4817IGX;3;37.2111;3.35197;65.4%
2801CLM;2;37.4644;3.9945;14.89%
8767ADK;2;37.9326;3.91422;4.52%
5006LUF;3;37.3528;3.87219;86.99%
3214FQB;0;37.8749;3.70005;71.47%
4870SHO;0;37.5018;3.81909;47.51%
6896TQO;2;37.7155;3.56243;8.47%
7180FUS;2;37.0568;3.8354;12.14%
2432BHH;3;37.8385;3.90588;85.23%
3134NAF;2;37.3727;3.93581;14.43%
6157SCN;2;37.5936;3.98887;13.16%
1974BUV;2;37.8452;3.31104;13.88%
9783JRD;0;37.8815;3.98033;27.42%
5610VRZ;0;37.2067;3.86626;70.6%
9506RLF;2;37.562;3.52189;14.25%
4152SZU;0;37.6777;3.56686;45.02%
0873LQX;2;37.0795;3.93581;4.71%
7908CBR;1;37.4377;3.319;96.09%
9777OBU;0;37.0505;3.70043;55.75%
7507NLP;0;37.0991;3.32744;37.36%
5617WNC;0;37.816;3.97968;99.86%
7626TUQ;1;37.6274;3.72192;99.47%
2232HQL;2;37.7122;3.11953;1.22%
4118WXP;0;37.592;3.03402;84.81%
3147JJU;3;37.1459;3.78742;24.12%
5420XPM;0;37.7783;3.9625;84.87%
9212EHP;0;37.5603;3.89991;37.07%
2468ZJH;3;37.599;3.61025;74.53%
0052CAS;0;37.5721;3.60112;85.46%
4885SPY;3;37.6926;3.04529;42.21%
8914RGY;2;37.261;3.36478;4.84%
5630YVJ;2;37.0057;3.45789;9.49%
2561GQA;2;37.4606;3.4482;3.69%
7088CVC;0;37.4561;3.76837;71.77%
7682KDB;1;37.9385;3.96844;95.55%
1057JLD;1;37.3791;3.62496;40.36%
4614AXZ;1;37.5997;3.77702;40.36%
3102YGP;3;37.8801;3.84854;38.69%
6701HVH;2;37.413;3.53739;7.36%
5416IFG;3;37.9518;3.99086;55.43%
5495IVK;1;37.0047;3.16028;80.31%
9992KQV;3;37.5537;3.36334;23.46%
8889BXC;1;37.8816;3.00324;90.14%
9630PPK;1;37.6368;3.81335;73.12%
1303BKN;1;37.2734;3.04011;62.3%
5855PIS;3;37.3563;3.17773;72.19%
4479UEC;0;37.1814;3.52564;98.21%
3503SXC;0;37.2123;3.81203;57.63%
8523ZPP;1;37.5488;3.03253;91.76%
8585CLO;3;37.3926;3.97767;99.91%
3353EKV;2;37.5383;3.10873;14.19%
0454YAD;3;37.0635;3.75672;26.55%
4632ZFZ;1;37.5685;3.09248;98.49%
9045NMN;2;37.2057;3.47889;10.74%
4131WXL;3;37.5255;3.25591;72.91%
3726ZYY;3;37.5924;3.106;88.31%
4540EUQ;3;37.6464;3.8781;56%
0293XTZ;0;37.8902;3.85254;90.08%
1013YAL;0;37.382;3.58452;26.54%
9145DGP;2;37.289;3.82134;14.14%
5386CMX;3;37.2295;3.59297;34.01%
1922DAR;0;37.2446;3.0935;59.57%
3689JXD;1;37.8054;3.68586;96.61%
7915FMV;3;37.0519;3.06736;71.96%
7191ZKB;0;37.1285;3.19452;28.28%
9669SEE;3;37.5165;3.31172;90.5%
6059LGZ;1;37.4159;3.11176;70.99%
9428NBX;1;37.6887;3.7176;43.32%
9168QQW;2;37.9897;3.63078;3.86%
0077BME;1;37.7448;3.62146;30.11%
2266LVV;0;37.8732;3.13476;75.45%
8466CSZ;2;37.6293;3.85832;11.22%
3590HIO;3;37.0601;3.20747;100.51%
6762ZXG;3;37.1203;3.82439;59%
2161EKH;1;37.3406;3.31039;93.9%
2301LTJ;0;37.2502;3.17116;83.32%
6842XAA;1;37.3608;3.50081;73.08%
3172ALU;2;37.1484;3.86712;10.69%
8400NEN;0;37.6361;3.82673;77.54%
7084WFU;0;37.8822;3.06111;73.07%
4923XHA;2;37.3901;3.66071;6.55%
3185WTV;1;37.7436;3.61274;71.32%
7777FYS;1;37.1463;3.51894;70.56%
6458TRF;3;37.1358;3.32451;15.35%
1001DWQ;3;37.6023;3.93845;91.77%
2050BCE;3;37.8817;3.01733;32.06%
5193ZCK;3;37.432;3.01681;39.21%
7117JMD;1;37.7994;3.29153;74.41%
9656CFI;2;37.6163;3.45678;14.51%
6205XOW;1;37.5057;3.69459;55.9%
2253KSB;3;37.0608;3.13153;32.88%
0376KPJ;0;37.8353;3.60103;91.38%
6718DMK;1;37.1677;3.4969;58.02%
7104QUX;2;37.4666;3.6059;5.3%
3842SIN;1;37.5018;3.85905;53.82%
6198LYS;0;37.7912;3.19968;22.21%
3295ZGL;0;37.9809;3.37389;17.13%
5359HDU;2;37.3374;3.10509;4.31%
0029CXA;3;37.7229;3.20165;32.01%
7566UTG;0;37.9288;3.11539;42.75%
7674RWT;1;37.9938;3.21657;29.36%
4416AAY;2;37.4059;3.20626;9.61%
9885EVO;1;37.5686;3.11098;75.92%
5095CDH;1;37.2947;3.03218;91.16%
6507FYV;1;37.696;3.38618;36%
1429VDU;0;37.6909;3.48865;19.51%
7737QNG;0;37.0865;3.20951;34.71%
0210ENV;3;37.5552;3.39058;32.33%
6538VTX;1;37.6629;3.33123;34.11%
5078XLQ;3;37.3952;3.0852;82.91%
2515IRA;3;37.3048;3.28909;77.17%
4260LLR;2;37.3192;3.12026;6.76%
0009COI;0;37.7393;3.817;62.25%
1932PPB;1;37.1976;3.50253;70.78%
8385TBQ;0;37.7028;3.52866;74.07%
2352IYO;3;37.5313;3.33607;94.7%
3118ZAK;2;37.7714;3.34727;1.52%
8656JWN;2;37.4828;3.37709;14.98%
9667TWR;3;37.6805;3.94549;79.68%
7091XCH;3;37.5878;3.87156;21.72%
1127RRJ;0;37.3134;3.13469;96.01%
6982KFR;1;37.8603;3.51698;31.78%
0411NGU;1;37.8851;3.27058;26.9%
4428PXW;1;37.2393;3.01516;18.47%
3343IUN;1;37.6659;3.1581;65.6%
3646DYA;3;37.502;3.05233;47.39%
8562UFH;2;37.3638;3.33365;2.39%
5762JIO;0;37.3116;3.29141;80.98%
4400NHG;3;37.5838;3.45542;67.85%
3759SNC;3;37.5184;3.52556;34.62%
6802MVY;1;37.6973;3.42926;60.06%
9319CSA;0;37.4736;3.90521;65.91%
0955KLU;0;37.5785;3.26656;75.14%
3676OID;2;37.4897;3.27528;14.89%
5429VQV;3;37.1502;3.07398;63.77%
1306WCN;2;37.8014;3.01442;10.46%
7624WSA;2;37.3953;3.00706;8.29%
3657HMG;3;37.9448;3.73534;100.2%
2765TYH;0;37.3839;3.52087;94.82%
3375DJG;0;37.6609;3.55766;36.67%
7095YDX;0;37.69;3.66317;38.82%
1287ZXP;3;37.5953;3.4514;70.71%
3580CXE;0;37.6648;3.36747;73.37%
5505KYU;1;37.7806;3.40907;86.28%
9349KAV;1;37.0799;3.39849;44.36%
2232NWV;3;37.1721;3.10657;82.69%
8640VKG;1;37.1415;3.1208;76.69%
7073KNV;3;37.9133;3.70297;42.77%
3217QKB;2;37.7223;3.02846;12.28%
7511WKZ;0;37.7686;3.98479;41.53%
3892WTG;3;37.381;3.75875;76.67%
0173SHH;3;37.5399;3.48204;87.72%
9812BXF;0;37.7512;3.07199;70.72%
7376HFZ;1;37.148;3.9242;42.86%
4601TLK;2;37.0242;3.69388;2.74%
8580IWN;1;37.403;3.48716;100.73%
5744BOL;0;37.6663;3.35152;25%
5726WEH;1;37.7295;3.93058;43.06%
5315PPD;2;37.6879;3.97386;7.14%
6370IDQ;1;37.4972;3.55639;56.84%
1734JOS;0;37.8742;3.49248;52.25%
9890TOF;3;37.2866;3.93111;63.9%
3172TXF;0;37.9458;3.25644;62.72%
4889QJR;0;37.1401;3.73976;15.47%
8868ZUA;0;37.4964;3.9899;75.78%
8205YIE;2;37.052;3.63032;5.99%
5605HQC;1;37.1165;3.77015;91.38%
9776XOO;3;37.9228;3.97906;40.26%
1113UDT;0;37.4181;3.22859;83.44%
6857ZBR;3;37.0146;3.58935;92.65%
6596PCM;1;37.3171;3.78908;73.51%
2223KUX;3;37.1655;3.16799;82.23%
3530YSL;1;37.3899;3.9497;63.47%
5074CCS;3;37.9355;3.4306;79.16%
4847OEX;3;37.5065;3.7743;74.03%
1174LRH;1;37.7836;3.94282;35.24%
8295KOI;1;37.4735;3.15093;73.61%
3529KYW;0;37.9736;3.96469;92.3%
0717ZSQ;0;37.5429;3.688;52.15%
5265PHL;3;37.6467;3.16014;28.19%
1116AMA;0;37.8574;3.90795;73.85%
4675DAG;3;37.0435;3.89323;97.08%
5252VFB;2;37.2291;3.82698;10.92%
8482WYQ;2;37.3483;3.01759;10.74%
4961PVS;1;37.1036;3.35538;27.92%
